BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000251.region001	NZ_PZKG01000251	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000318.region001	NZ_PZKG01000318	Cereibacter changlensis strain JA139JA139	hserlactone	Others	Cereibacter changlensis JA139JA139..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000007.region001	NZ_PZKF01000007	Phaeovulum veldkampii strain DSM 11550	betalactone	Others	Phaeovulum veldkampii DSM 11550..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000013.region001	NZ_PZKF01000013	Phaeovulum veldkampii strain DSM 11550	hserlactone	Others	Phaeovulum veldkampii DSM 11550..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000002.region001	NZ_QDKM01000002	Pararhodobacter oceanensis strain AM505	ectoine	Others	Pararhodobacter oceanensis AM505..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000010.region001	NZ_QDKM01000010	Pararhodobacter oceanensis strain AM505	betalactone	Others	Pararhodobacter oceanensis AM505..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000007.region001	NZ_QEYD01000007	Pararhodobacter marinus strain CIC4N-9	ectoine	Others	Pararhodobacter marinus CIC4N-9..	
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000009.region001	NZ_QEYD01000009	Pararhodobacter marinus strain CIC4N-9	betalactone	Others	Pararhodobacter marinus CIC4N-9..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000002.region001	NZ_QKZO01000002	Rhodobacter capsulatus strain DSM 1710	hserlactone	Others	Rhodobacter capsulatus DSM 1710..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000006.region001	NZ_QKZO01000006	Rhodobacter capsulatus strain DSM 1710	hserlactone	Others	Rhodobacter capsulatus DSM 1710..	
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000006.region001	NZ_QNHG01000006	Pseudogemmobacter bohemicus strain Cd-10	hserlactone	Others	Pseudogemmobacter bohemicus Cd-10..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000007.region001	NZ_QNVJ01000007	Alkalilacustris brevis strain 34079	betalactone	Others	Alkalilacustris brevis 34079..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000008.region001	NZ_QNVJ01000008	Alkalilacustris brevis strain 34079	ectoine	Others	Alkalilacustris brevis 34079..	
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000054.region001	NZ_QNVJ01000054	Alkalilacustris brevis strain 34079	hserlactone	Others	Alkalilacustris brevis 34079..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000002.region001	NZ_RRYH01000002	Solirhodobacter olei strain Pet-1	hserlactone	Others	Solirhodobacter olei Pet-1..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000015.region001	NZ_RRYH01000015	Solirhodobacter olei strain Pet-1	hserlactone	Others	Solirhodobacter olei Pet-1..	
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000029.region001	NZ_RRYH01000029	Solirhodobacter olei strain Pet-1	hserlactone.NRPS-like	Others	Solirhodobacter olei Pet-1..	
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region001	NZ_ML137218.1	Falsirhodobacter deserti strain W402	hserlactone	Others	Falsirhodobacter deserti W402..	
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region004	NZ_ML137218.1	Falsirhodobacter deserti strain W402	redox-cofactor	Others	Falsirhodobacter deserti W402..	
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.region001	NZ_SORN01000002	Rhodobaca bogoriensis strain DSM 18756	ectoine	Others	Rhodobaca bogoriensis DSM 18756..	
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000002.region002	NZ_SORN01000002	Rhodobaca bogoriensis strain DSM 18756	hserlactone	Others	Rhodobaca bogoriensis DSM 18756..	
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.region002	NZ_VFPT01000001	Roseinatronobacter monicus strain DSM 18423	ectoine.terpene	Others	Roseinatronobacter monicus DSM 18423..	
GCF_009908165.1_Frigidibacter_albus_SP32-c00040_NZ_JAAA...region001	c00040_NZ_JAAA..	Frigidibacter albus strain SP32	hserlactone	Others	Frigidibacter albus SP32..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region001	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	ectoine	Others	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region003	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	betalactone	Others	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region004	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	hserlactone	Others	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region005	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	ectoine	Others	Roseicitreum antarcticum ZS2-28..	
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000218.region001	NZ_NHSD01000218	Rhodobaculum claviforme strain LMG28126	ectoine	Others	Rhodobaculum claviforme LMG28126..	
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000292.region001	NZ_NHSD01000292	Rhodobaculum claviforme strain LMG28126	betalactone	Others	Rhodobaculum claviforme LMG28126..	
GCF_023336755.1_Roseibaca_sp.V10_V10-c00003_NZ_JALZ...region001	c00003_NZ_JALZ..	Roseibaca sp.v10 strain V10	ectoine	Others	Roseibaca sp.v10 V10..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000005.region001	NZ_FNEA01000005	Paracoccus denitrificans strain DSM 413	redox-cofactor	Others	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000014.region001	NZ_FNEA01000014	Paracoccus denitrificans strain DSM 413	hserlactone	Others	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000020.region001	NZ_FNEA01000020	Paracoccus denitrificans strain DSM 413	thioamitides	Others	Paracoccus denitrificans DSM 413..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000001.region001	NZ_UIHC01000001	Roseibaca ekhonensis strain CECT7235	ectoine	Others	Roseibaca ekhonensis CECT7235..	
