BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000292.1.region001	NZ_NHSD01000292.1	Rhodobaculum claviforme strain LMG28126	betalactone	Others	Rhodobaculum claviforme LMG28126..	
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000003.1.region001	NZ_JALZWP010000003.1	Roseibaca sp.v10 strain V10	ectoine	Others	Roseibaca sp.v10 V10..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000005.1.region001	NZ_FNEA01000005.1	Paracoccus denitrificans strain DSM 413	NRP-metallophore.redox-cofactor	Others	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000013.1.region001	NZ_FNEA01000013.1	Paracoccus denitrificans strain DSM 413	NRP-metallophore.NRPS	Others	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000014.1.region001	NZ_FNEA01000014.1	Paracoccus denitrificans strain DSM 413	hserlactone	Others	Paracoccus denitrificans DSM 413..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000001.1.region001	NZ_UIHC01000001.1	Roseibaca ekhonensis strain CECT7235	ectoine	Others	Roseibaca ekhonensis CECT7235..	
NZ_JACBXS010000003.1.region001	NZ_JACBXS010000003.1	Rhabdonatronobacter sediminivivens strain IM2376	hserlactone	Others	Rhabdonatronobacter sediminivivens Unclassified.	
NZ_JACBXS010000004.1.region001	NZ_JACBXS010000004.1	Rhabdonatronobacter sediminivivens strain IM2376	ectoine	Others	Rhabdonatronobacter sediminivivens Unclassified.	
NZ_JACBXS010000036.1.region001	NZ_JACBXS010000036.1	Rhabdonatronobacter sediminivivens strain IM2376	phosphonate	Others	Rhabdonatronobacter sediminivivens Unclassified.	
NZ_JAFMPR010000001.1.region001	NZ_JAFMPR010000001.1	Roseibaca sp.y0-43 strain Y0-43	ectoine	Others	Roseibaca sp.y0-43 Unclassified.	
NZ_JAQZSM010000003.1.region001	NZ_JAQZSM010000003.1	Roseinatronobacter sp.hjb301 strain HJB301	hserlactone	Others	Roseinatronobacter sp.hjb301 Unclassified.	
NZ_JAQZSM010000009.1.region001	NZ_JAQZSM010000009.1	Roseinatronobacter sp.hjb301 strain HJB301	ectoine	Others	Roseinatronobacter sp.hjb301 Unclassified.	
NZ_MJAP01000002.1.region001	NZ_MJAP01000002.1	Natronohydrobacter thiooxidans strain AH01	ectoine	Others	Natronohydrobacter thiooxidans Unclassified.	
NZ_MJAP01000010.1.region001	NZ_MJAP01000010.1	Natronohydrobacter thiooxidans strain AH01	hserlactone	Others	Natronohydrobacter thiooxidans Unclassified.	
